date,open,high,low,close,tickvol,vol,spread
2023.06.05,1.07071,1.07225,1.06747,1.07125,61925,0,0
2023.06.06,1.07109,1.07329,1.06671,1.06923,50815,0,0
2023.06.07,1.06915,1.07398,1.06683,1.06982,53385,0,0
2023.06.08,1.06975,1.07871,1.06913,1.07814,53287,0,0
2023.06.09,1.07823,1.07851,1.07430,1.07495,48339,0,0
2023.06.12,1.07448,1.07902,1.07330,1.07579,53350,0,0
2023.06.13,1.07567,1.08236,1.07509,1.07925,63916,0,0
2023.06.14,1.07923,1.08640,1.07740,1.08308,62307,0,0
2023.06.15,1.08303,1.09528,1.08039,1.09454,61404,0,0
2023.06.16,1.09425,1.09706,1.09176,1.09406,58638,0,0
2023.06.19,1.09273,1.09463,1.09073,1.09225,39494,0,0
2023.06.20,1.09197,1.09463,1.08918,1.09178,61768,0,0
2023.06.21,1.09176,1.09908,1.09056,1.09856,64901,0,0
2023.06.22,1.09856,1.10122,1.09486,1.09551,59803,0,0
2023.06.23,1.09551,1.09586,1.08444,1.08898,67374,0,0
2023.06.26,1.09047,1.09202,1.08873,1.09053,58682,0,0
2023.06.27,1.09052,1.09769,1.09018,1.09599,74820,0,0
2023.06.28,1.09603,1.09626,1.08968,1.09124,74325,0,0
2023.06.29,1.09123,1.09415,1.08602,1.08631,86189,0,0
2023.06.30,1.08632,1.09319,1.08354,1.09092,71133,0,0
2023.07.03,1.09090,1.09340,1.08702,1.09103,54133,0,0
2023.07.04,1.09102,1.09163,1.08767,1.08784,31628,0,0
2023.07.05,1.08790,1.09079,1.08510,1.08534,54500,0,0
2023.07.06,1.08533,1.09007,1.08336,1.08883,74118,0,0
2023.07.07,1.08853,1.09734,1.08671,1.09680,74702,0,0
2023.07.10,1.09590,1.10015,1.09436,1.10007,48487,0,0
2023.07.11,1.10008,1.10270,1.09769,1.10079,51314,0,0
2023.07.12,1.10074,1.11404,1.09972,1.11292,75485,0,0
2023.07.13,1.11251,1.12279,1.11251,1.12252,73456,0,0
2023.07.14,1.12257,1.12450,1.12028,1.12303,63734,0,0
2023.07.17,1.12288,1.12488,1.12033,1.12314,46415,0,0
2023.07.18,1.12314,1.12758,1.12089,1.12280,76344,0,0
2023.07.19,1.12263,1.12402,1.11744,1.11986,69164,0,0
2023.07.20,1.11991,1.12290,1.11185,1.11290,67690,0,0
2023.07.21,1.11291,1.11449,1.11080,1.11246,57028,0,0
2023.07.24,1.11213,1.11470,1.10603,1.10641,67541,0,0
2023.07.25,1.10636,1.10869,1.10206,1.10497,60015,0,0
2023.07.26,1.10500,1.11065,1.10378,1.10852,76916,0,0
2023.07.27,1.10856,1.11497,1.09659,1.09765,110742,0,0
2023.07.28,1.09762,1.10477,1.09437,1.10141,106941,0,0
2023.07.31,1.10230,1.10459,1.09932,1.09964,63873,0,0
2023.08.01,1.09966,1.10029,1.09525,1.09842,63981,0,0
2023.08.02,1.09816,1.10187,1.09178,1.09379,77015,0,0
2023.08.03,1.09371,1.09628,1.09124,1.09480,80559,0,0
2023.08.04,1.09490,1.10421,1.09293,1.10055,78356,0,0
2023.08.07,1.10111,1.10160,1.09655,1.10021,52824,0,0
2023.08.08,1.10026,1.10112,1.09292,1.09556,61011,0,0
2023.08.09,1.09556,1.09954,1.09445,1.09734,49227,0,0
2023.08.10,1.09739,1.10653,1.09651,1.09805,92544,0,0
2023.08.11,1.09799,1.10049,1.09431,1.09451,66144,0,0
2023.08.14,1.09492,1.09602,1.08744,1.09052,70515,0,0
2023.08.15,1.09028,1.09525,1.08967,1.09043,86676,0,0
2023.08.16,1.09042,1.09346,1.08716,1.08788,69353,0,0
2023.08.17,1.08789,1.09185,1.08561,1.08717,91669,0,0
2023.08.18,1.08716,1.08938,1.08451,1.08696,83896,0,0
2023.08.21,1.08671,1.09137,1.08634,1.08949,75631,0,0
2023.08.22,1.08949,1.09305,1.08329,1.08452,75116,0,0
2023.08.23,1.08448,1.08715,1.08026,1.08627,78253,0,0
2023.08.24,1.08631,1.08767,1.08050,1.08096,60671,0,0
2023.08.25,1.08086,1.08420,1.07656,1.07944,86091,0,0
2023.08.28,1.07958,1.08223,1.07928,1.08182,52427,0,0
2023.08.29,1.08186,1.08920,1.07822,1.08793,80309,0,0
2023.08.30,1.08796,1.09455,1.08551,1.09227,85044,0,0
2023.08.31,1.09228,1.09394,1.08353,1.08427,88395,0,0
2023.09.01,1.08428,1.08818,1.07715,1.07728,103994,0,0
2023.09.04,1.07738,1.08089,1.07712,1.07934,35955,0,0
2023.09.05,1.07961,1.07983,1.07062,1.07209,85366,0,0
2023.09.06,1.07220,1.07489,1.07024,1.07268,83401,0,0
2023.09.07,1.07233,1.07318,1.06861,1.06948,72783,0,0
2023.09.08,1.06965,1.07438,1.06924,1.06993,69538,0,0
2023.09.11,1.07147,1.07594,1.06980,1.07500,65836,0,0
2023.09.12,1.07427,1.07688,1.07055,1.07529,61037,0,0
2023.09.13,1.07538,1.07647,1.07107,1.07283,87189,0,0
2023.09.14,1.07281,1.07522,1.06319,1.06420,100373,0,0
2023.09.15,1.06426,1.06879,1.06314,1.06591,72822,0,0
2023.09.18,1.06587,1.06989,1.06546,1.06907,53916,0,0
2023.09.19,1.06913,1.07181,1.06691,1.06790,57943,0,0
2023.09.20,1.06775,1.07370,1.06501,1.06608,80266,0,0
2023.09.21,1.06597,1.06736,1.06164,1.06604,89987,0,0
2023.09.22,1.06580,1.06718,1.06149,1.06428,51569,0,0
2023.09.25,1.06498,1.06552,1.05753,1.05919,35702,0,0
2023.09.26,1.05928,1.06091,1.05618,1.05719,38537,0,0
2023.09.27,1.05682,1.05740,1.04881,1.05015,47779,0,0
2023.09.28,1.05009,1.05790,1.04909,1.05640,58724,0,0
2023.09.29,1.05646,1.06170,1.05544,1.05735,57689,0,0
2023.10.02,1.05651,1.05917,1.04768,1.04768,52023,0,0
2023.10.03,1.04770,1.04934,1.04480,1.04655,68335,0,0
2023.10.04,1.04665,1.05323,1.04514,1.05037,57780,0,0
2023.10.05,1.05061,1.05517,1.05002,1.05489,79048,0,0
2023.10.06,1.05399,1.06002,1.04822,1.05852,92710,0,0
2023.10.09,1.05491,1.05744,1.05196,1.05657,78178,0,0
2023.10.10,1.05605,1.06199,1.05545,1.06052,89212,0,0
2023.10.11,1.05952,1.06348,1.05809,1.06182,90049,0,0
2023.10.12,1.06198,1.06398,1.05258,1.05272,92478,0,0
2023.10.13,1.05280,1.05586,1.04954,1.05070,79019,0,0
2023.10.16,1.05084,1.05627,1.05023,1.05592,63448,0,0
2023.10.17,1.05599,1.05947,1.05327,1.05769,73521,0,0
2023.10.18,1.05765,1.05940,1.05229,1.05354,69966,0,0
2023.10.19,1.05363,1.06164,1.05281,1.05814,96807,0,0
2023.10.20,1.05795,1.06033,1.05647,1.05931,65699,0,0
2023.10.23,1.05918,1.06778,1.05714,1.06693,67580,0,0
2023.10.24,1.06686,1.06947,1.05829,1.05886,74478,0,0
2023.10.25,1.05895,1.06065,1.05653,1.05664,70244,0,0
2023.10.26,1.05668,1.05690,1.05218,1.05615,75095,0,0
2023.10.27,1.05564,1.05969,1.05353,1.05640,65534,0,0
2023.10.30,1.05647,1.06250,1.05470,1.06140,55419,0,0
2023.10.31,1.06140,1.06749,1.05575,1.05752,84404,0,0
2023.11.01,1.05769,1.05804,1.05166,1.05687,96115,0,0
2023.11.02,1.05683,1.06675,1.05683,1.06200,73975,0,0
2023.11.03,1.06200,1.07466,1.06145,1.07292,79024,0,0
2023.11.06,1.07215,1.07561,1.07157,1.07168,42421,0,0
2023.11.07,1.07172,1.07221,1.06640,1.06993,44696,0,0
2023.11.08,1.06992,1.07159,1.06593,1.07083,42016,0,0
2023.11.09,1.07060,1.07253,1.06599,1.06674,53055,0,0
2023.11.10,1.06674,1.06926,1.06560,1.06845,52644,0,0
2023.11.13,1.06751,1.07060,1.06648,1.06981,47554,0,0
2023.11.14,1.06916,1.08872,1.06916,1.08782,79728,0,0
2023.11.15,1.08784,1.08855,1.08314,1.08461,73551,0,0
2023.11.16,1.08462,1.08953,1.08299,1.08513,54528,0,0
2023.11.17,1.08519,1.09137,1.08247,1.09128,49504,0,0
2023.11.20,1.09008,1.09517,1.08973,1.09396,45170,0,0
2023.11.21,1.09398,1.09649,1.09000,1.09101,49286,0,0
2023.11.22,1.09067,1.09227,1.08522,1.08882,52654,0,0
2023.11.23,1.08882,1.09304,1.08809,1.09018,21444,0,0
2023.11.24,1.08996,1.09485,1.08948,1.09362,26523,0,0
2023.11.27,1.09386,1.09590,1.09249,1.09534,30707,0,0
2023.11.28,1.09535,1.10087,1.09343,1.09922,38164,0,1
2023.11.29,1.09903,1.10169,1.09600,1.09686,40007,0,0
2023.11.30,1.09690,1.09837,1.08793,1.08866,56147,0,0
2023.12.01,1.08845,1.09128,1.08289,1.08823,55043,0,0
2023.12.04,1.08738,1.08944,1.08040,1.08351,52465,0,0
2023.12.05,1.08353,1.08474,1.07782,1.07956,53058,0,0
2023.12.06,1.07957,1.08048,1.07587,1.07636,47080,0,0
2023.12.07,1.07628,1.08175,1.07552,1.07934,56174,0,0
2023.12.08,1.07920,1.08006,1.07235,1.07573,55248,0,0
2023.12.11,1.07583,1.07789,1.07415,1.07642,42198,0,0
2023.12.12,1.07643,1.08282,1.07548,1.07938,45983,0,0
2023.12.13,1.07940,1.08966,1.07732,1.08741,51636,0,0
2023.12.14,1.08736,1.10092,1.08660,1.09917,69160,0,0
2023.12.15,1.09918,1.10039,1.08885,1.08939,190459,0,0
2023.12.18,1.08968,1.09312,1.08918,1.09228,176756,0,0
2023.12.19,1.09235,1.09876,1.09108,1.09798,198996,0,0
2023.12.20,1.09803,1.09833,1.09290,1.09397,205189,0,0
2023.12.21,1.09382,1.10121,1.09348,1.10098,216971,0,0
2023.12.22,1.10101,1.10405,1.09838,1.10132,198705,0,0
2023.12.25,1.10119,1.10162,1.10119,1.10135,624,0,24
2023.12.26,1.10028,1.10451,1.09998,1.10415,97243,0,0
2023.12.27,1.10414,1.11229,1.10284,1.11043,163798,0,0
2023.12.28,1.11050,1.11396,1.10550,1.10609,181168,0,0
2023.12.29,1.10602,1.10847,1.10334,1.10360,187896,0,0
